MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION CITY (L/100 km),FUEL CONSUMPTION HWY (L/100 km),FUEL CONSUMPTION COMB (L/100 km),CO2 EMISSIONS 
2016,ACURA,ILX,COMPACT,2.4,4,AM8,Z,9.3,6.6,8.1,189
2016,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.7,9.1,11.1,254
2016,ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6,AS9,Z,12.2,9.1,10.7,251
2016,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.4,8.6,10.7,249
2016,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10,235
2016,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8,7.5,7.7,180
2016,ACURA,TLX,COMPACT,2.4,4,AM8,Z,9.6,6.6,8.3,196
2016,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,9.6,226
2016,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,197
2016,ASTON MARTIN,DB9 GT,MINICOMPACT,5.9,12,A6,Z,18,12.6,15.6,365
2016,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6,12,A8,Z,16.8,10.9,14.2,332
2016,ASTON MARTIN,VANQUISH,MINICOMPACT,6,12,A8,Z,17.6,11.4,14.8,346
2016,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,343
2016,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,362
2016,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,343
2016,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,362
2016,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,343
2016,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,362
2016,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6,12,AM7,Z,19.5,12.8,16.5,390
2016,AUDI,A3,SUBCOMPACT,1.8,4,AM6,X,10,7.1,8.7,204
