YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION CITY (L/100 km),FUEL CONSUMPTION HWY (L/100 km),FUEL CONSUMPTION COMB (L/100 km),CO2 EMISSIONS 
2020,ACURA,ILX,COMPACT,2.4,4,AM8,Z,9.9,7,8.6,199
2020,ACURA,MDX SH-AWD,SUV: SMALL,3.5,6,AS9,Z,12.3,9.2,10.9,254
2020,ACURA,MDX SH-AWD A-SPEC,SUV: SMALL,3.5,6,AS9,Z,12.2,9.5,11,258
2020,ACURA,MDX HYBRID AWD,SUV: SMALL,3,6,AM7,Z,9.1,9,9,210
2020,ACURA,RDX AWD,SUV: SMALL,2,4,AS10,Z,11,8.6,9.9,232
2020,ACURA,RDX AWD A-SPEC,SUV: SMALL,2,4,AS10,Z,11.3,9.1,10.3,241
2020,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.4,8.2,8.4,196
2020,ACURA,TLX A-SPEC,COMPACT,2.4,4,AM8,Z,10.2,7.4,8.9,209
2020,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.4,7.7,9.8,228
2020,ACURA,TLX SH-AWD A-SPEC/LIMITED EDITION,COMPACT,3.5,6,AS9,Z,12,8.2,10.3,240
2020,ALFA ROMEO,4C SPIDER,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,197
2020,ALFA ROMEO,GIULIA,MID-SIZE,2,4,A8,Z,10,7.2,8.7,205
2020,ALFA ROMEO,GIULIA AWD,MID-SIZE,2,4,A8,Z,10.5,7.7,9.2,217
2020,ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6,A8,Z,13.5,9.3,11.6,271
2020,ALFA ROMEO,STELVIO,SUV: SMALL,2,4,A8,Z,10.3,8.1,9.3,218
2020,ALFA ROMEO,STELVIO AWD,SUV: SMALL,2,4,A8,Z,10.8,8.3,9.6,226
2020,ALFA ROMEO,STELVIO AWD QUADRIFOGLIO,SUV: SMALL,2.9,6,A8,Z,13.9,10.3,12.3,288
2020,ASTON MARTIN,DB11 V8,MINICOMPACT,4,8,A8,Z,13,9.8,11.5,271
2020,ASTON MARTIN,DB11 AMR,MINICOMPACT,5.2,12,A8,Z,15.5,10.6,13.3,312
2020,ASTON MARTIN,DBS SUPERLEGGERA,MINICOMPACT,5.2,12,A8,Z,16.4,10.7,13.8,324
2020,ASTON MARTIN,VANTAGE V8,TWO-SEATER,4,8,A8,Z,13.1,9.6,11.5,270
2020,ASTON MARTIN,VANTAGE V8,TWO-SEATER,4,8,M7,Z,16.7,11.2,14.2,333
2020,AUDI,A3,SUBCOMPACT,2,4,AM7,X,8.8,6.5,7.8,182
2020,AUDI,A3 QUATTRO,SUBCOMPACT,2,4,AM7,X,10.8,8,9.5,224
2020,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AM7,X,10.8,8,9.5,224
2020,AUDI,A4 QUATTRO,COMPACT,2,4,AM7,Z,10,7.3,8.8,205
2020,AUDI,A4 ALLROAD QUATTRO,STATION WAGON: SMALL,2,4,AM7,Z,10,7.4,8.8,206
2020,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AM7,Z,10,7.3,8.8,205
2020,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AM7,Z,10,7.4,8.8,206
2020,AUDI,A5 SPORTBACK QUATTRO,MID-SIZE,2,4,AM7,Z,10,7.3,8.8,205
2020,AUDI,A6 QUATTRO ,MID-SIZE,2,4,AM7,Z,9.8,7.4,8.7,205
2020,AUDI,A6 QUATTRO ,MID-SIZE,3,6,AM7,Z,10.9,8.2,9.7,226
2020,AUDI,A6 ALLROAD ,MID-SIZE,3,6,AM7,Z,11.8,9.1,10.6,247
2020,AUDI,A7 QUATTRO,MID-SIZE,3,6,AM7,Z,10.9,8.2,9.7,226
2020,AUDI,A8L ,FULL-SIZE,3,6,AS8,Z,13.5,8.9,11.5,267
2020,AUDI,A8L ,FULL-SIZE,4,8,AS8,Z,15.4,10.4,13.2,308
2020,AUDI,Q3 QUATTRO,SUV: SMALL,2,4,AS8,X,12.3,8.6,10.6,248
2020,AUDI,Q5,SUV: SMALL,2,4,AM7,Z,10.7,8.4,9.7,226
2020,AUDI,Q7,SUV: STANDARD,3,6,AS8,Z,13.8,11.4,12.7,296
2020,AUDI,Q8,SUV: STANDARD,3,6,AS8,Z,13.8,11.4,12.7,296
2020,AUDI,R8 COUPE,TWO-SEATER,5.2,10,AM7,Z,17.5,11.7,14.9,347
2020,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,AM7,Z,17.5,11.7,14.9,347
2020,AUDI,RS 3,SUBCOMPACT,2.5,5,AM7,Z,12.1,8.4,10.4,243
2020,AUDI,S3,SUBCOMPACT,2,4,AM7,Z,10.7,8,9.5,222
2020,AUDI,S4,COMPACT,3,6,AS8,Z,11.8,8.9,10.5,245
2020,AUDI,S5,SUBCOMPACT,3,6,AS8,Z,11.8,8.9,10.5,245
2020,AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,AS8,Z,12.1,9.1,10.8,252
2020,AUDI,S5 SPORTBACK,MID-SIZE,3,6,AS8,Z,11.8,8.9,10.5,245
2020,AUDI,S6,MID-SIZE,2.9,6,AS8,Z,12.9,8.5,10.9,255
2020,AUDI,S7,MID-SIZE,2.9,6,AS8,Z,12.9,8.5,10.9,255
2020,AUDI,S8,FULL-SIZE,4,8,AS8,Z,17.6,10.7,14.5,339
2020,AUDI,SQ5,SUV: SMALL,3,6,AS8,Z,13.1,10.3,11.8,276
2020,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,AM7,X,10.3,7.7,9.1,213
2020,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,AM7,X,10.3,7.7,9.1,213
2020,AUDI,TT RS,SUBCOMPACT,2.5,5,AM7,Z,12.1,8.2,10.3,241
2020,AUDI,TTS COUPE,SUBCOMPACT,2,4,AM7,Z,10.4,8.2,9.4,220
2020,BENTLEY,BENTAYGA,SUV: STANDARD,4,8,AS8,Z,16.4,10.1,13.6,315
2020,BENTLEY,BENTAYGA,SUV: STANDARD,6,12,AS8,Z,20,13.8,17.2,401
2020,BENTLEY,CONTINENTAL GT,COMPACT,4,8,AM8,Z,15.1,9.1,12.4,291
2020,BENTLEY,CONTINENTAL GT,COMPACT,6,12,AM8,Z,19,11.6,15.7,364
2020,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4,8,AM8,Z,15.1,9.1,12.4,291
2020,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6,12,AM8,Z,19.2,12.2,16,373
