site_code year month day hour minute second value value_std_dev nvalue latitude longitude altitude elevation intake_height qcflag
MLO 1987 4 1 0 0 0 1697.19 11.82 27 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1987 5 1 0 0 0 1699.5 13.03 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1987 6 1 0 0 0 1693.4 12.65 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1987 7 1 0 0 0 1678.06 11.77 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1987 8 1 0 0 0 1674.99 13.44 12 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1987 9 1 0 0 0 1688.23 12.84 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1987 10 1 0 0 0 1702.18 18.9 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1987 11 1 0 0 0 1708.67 13.07 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1987 12 1 0 0 0 1700.6 10.09 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 1 1 0 0 0 1698.57 8.05 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 2 1 0 0 0 1706.52 11.38 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 3 1 0 0 0 1708.03 15.05 27 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 4 1 0 0 0 1705.94 10.93 25 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 5 1 0 0 0 1700.14 12.04 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 6 1 0 0 0 1694.27 8.11 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 7 1 0 0 0 1687.7 5.72 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 8 1 0 0 0 1686.71 11.46 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 9 1 0 0 0 1696.99 15.82 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 10 1 0 0 0 1710.59 14.68 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 11 1 0 0 0 1718.51 11.09 27 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1988 12 1 0 0 0 1723.36 10.82 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 1 1 0 0 0 1726.02 8.9 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 2 1 0 0 0 1719.48 11.97 25 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 3 1 0 0 0 1716.79 11.47 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 4 1 0 0 0 1722.57 10.34 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 5 1 0 0 0 1719.09 12.45 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 6 1 0 0 0 1706.2 7.79 14 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 7 1 0 0 0 1700.13 5.41 26 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 8 1 0 0 0 1707.23 7.53 27 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 9 1 0 0 0 1719.21 12.07 21 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 10 1 0 0 0 1723.17 11.97 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 11 1 0 0 0 1727.13 14.14 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1989 12 1 0 0 0 1730.46 9.54 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 1 1 0 0 0 1728.53 9.28 23 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 2 1 0 0 0 1730.75 14.24 25 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 3 1 0 0 0 1730.04 13.19 21 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 4 1 0 0 0 1729.51 10.51 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 5 1 0 0 0 1730.73 13.66 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 6 1 0 0 0 1721.9 15.16 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 7 1 0 0 0 1713.13 11.79 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 8 1 0 0 0 1716.42 15.66 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 9 1 0 0 0 1731.4 15.75 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 10 1 0 0 0 1742.43 13.98 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 11 1 0 0 0 1743.54 14.94 27 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1990 12 1 0 0 0 1742.82 12.11 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 1 1 0 0 0 1734.32 11.32 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 2 1 0 0 0 1737.59 13.94 27 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 3 1 0 0 0 1749.53 15.99 14 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 4 1 0 0 0 1748.65 10.69 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 5 1 0 0 0 1744.03 11.73 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 6 1 0 0 0 1736.53 12.2 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 7 1 0 0 0 1728.51 13.27 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 8 1 0 0 0 1725.56 12.5 26 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 9 1 0 0 0 1739.98 12.95 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 10 1 0 0 0 1755.28 15.17 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 11 1 0 0 0 1753.96 8.9 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1991 12 1 0 0 0 1752.43 12.81 27 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 1 1 0 0 0 1753.74 12.23 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 2 1 0 0 0 1751.95 12.63 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 3 1 0 0 0 1753.98 13.58 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 4 1 0 0 0 1754.34 9.92 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 5 1 0 0 0 1746.78 15.7 25 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 6 1 0 0 0 1743.19 13.06 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 7 1 0 0 0 1740.09 19.82 26 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 8 1 0 0 0 1733.2 8.99 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 9 1 0 0 0 1736.22 22.08 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 10 1 0 0 0 1742.03 18.35 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 11 1 0 0 0 1746.63 13.85 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1992 12 1 0 0 0 1754.27 11.3 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 1 1 0 0 0 1755.99 13.64 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 2 1 0 0 0 1755.79 12.81 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 3 1 0 0 0 1756.37 12.73 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 4 1 0 0 0 1750.51 8.89 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 5 1 0 0 0 1748.87 10.63 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 6 1 0 0 0 1749.16 16.45 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 7 1 0 0 0 1741.9 10.84 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 8 1 0 0 0 1738.84 7.06 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 9 1 0 0 0 1746.94 18.03 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 10 1 0 0 0 1761.68 18.45 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 11 1 0 0 0 1770.48 6.69 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1993 12 1 0 0 0 1769.46 9.25 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 1 1 0 0 0 1764.5 12.6 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 2 1 0 0 0 1759.81 13.36 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 3 1 0 0 0 1764.31 21.75 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 4 1 0 0 0 1763.11 9.38 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 5 1 0 0 0 1753.68 11.86 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 6 1 0 0 0 1745.46 10.17 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 7 1 0 0 0 1734.64 6.19 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 8 1 0 0 0 1733.62 8.77 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 9 1 0 0 0 1752.8 10.67 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 10 1 0 0 0 1775.43 13.21 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 11 1 0 0 0 1782.17 10.66 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1994 12 1 0 0 0 1773.26 8.32 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 1 1 0 0 0 1760.35 12.54 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 2 1 0 0 0 1759.91 14.08 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 3 1 0 0 0 1766.2 17.63 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 4 1 0 0 0 1766.19 13.66 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 5 1 0 0 0 1765.28 16.58 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 6 1 0 0 0 1757.2 11.09 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 7 1 0 0 0 1748.8 7.85 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 8 1 0 0 0 1753.81 11.38 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 9 1 0 0 0 1761.19 16.76 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 10 1 0 0 0 1768.81 13.05 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 11 1 0 0 0 1772.33 16.41 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1995 12 1 0 0 0 1770.83 9.43 28 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1996 1 1 0 0 0 1767.28 12.92 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1996 2 1 0 0 0 1772.64 13.11 29 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1996 3 1 0 0 0 1773.11 12.83 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1996 4 1 0 0 0 1759.15 7.98 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1996 5 1 0 0 0 1750.46 11.74 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1996 6 1 0 0 0 1750.14 9.58 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1996 7 1 0 0 0 1746.8 5.68 30 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1996 8 1 0 0 0 1745.63 9.3 31 19.536 -155.576 3437.0 3397.0 40.0 ...
MLO 1996 9 1 0 0 0 1759.43 17.14 30 19.536 -155.576 3437.0 3397.0 40.0 ...
